YearMonth,Grooming & Wellness,Professional Fee / Consultation,Deworming & Preventives,Vaccination,Diagnostics & Laboratory Tests,Medication & Treatment,Specialty Tests / Rare Cases,Surgery,Confinement / Hospitalization,End of Life Care,Year,Month,TotalVisits,Month_sin,Month_cos,IsPeakSeason,IsSlowSeason,IsHoliday,Lag1_Total,Lag2_Total,Lag3_Total,Rolling3_Total,Rolling6_Total
1/1/2020,55,61,108,166,29,36,17,3,35,0,2020,1,484,0.5,0.866025404,0,0,0,,,,,
2/1/2020,71,68,85,187,41,29,13,4,27,0,2020,2,488,0.866025404,0.5,0,0,0,484,,,,
3/1/2020,16,14,18,41,8,8,6,2,9,1,2020,3,114,1,6.12E-17,0,0,0,488,484,,362,
4/1/2020,27,29,43,85,17,14,3,4,19,1,2020,4,225,0.866025404,-0.5,1,0,0,114,488,484,275.6666667,
5/1/2020,41,29,50,94,15,10,1,0,20,1,2020,5,245,0.5,-0.866025404,1,0,0,225,114,488,194.6666667,
6/1/2020,12,11,28,41,7,8,0,0,4,1,2020,6,104,1.22E-16,-1,0,1,0,245,225,114,191.3333333,276.6666667
7/1/2020,18,5,26,28,5,4,1,1,4,0,2020,7,87,-0.5,-0.866025404,0,1,0,104,245,225,145.3333333,210.5
8/1/2020,10,9,14,32,7,3,2,2,7,0,2020,8,79,-0.866025404,-0.5,0,1,0,87,104,245,90,142.3333333
9/1/2020,8,9,18,43,8,3,2,1,7,0,2020,9,91,-1,-1.84E-16,0,1,0,79,87,104,85.66666667,138.5
10/1/2020,13,9,19,35,7,7,1,4,8,1,2020,10,98,-0.866025404,0.5,0,0,0,91,79,87,89.33333333,117.3333333
11/1/2020,19,7,17,36,5,3,0,5,6,0,2020,11,93,-0.5,0.866025404,1,0,0,98,91,79,94,92
12/1/2020,35,35,42,96,22,9,8,2,19,0,2020,12,249,-2.45E-16,1,1,0,1,93,98,91,146.6666667,116.1666667
1/1/2021,33,29,40,70,15,17,5,3,18,0,2021,1,216,0.5,0.866025404,0,0,0,249,93,98,186,137.6666667
2/1/2021,34,24,36,84,14,16,7,0,20,0,2021,2,221,0.866025404,0.5,0,0,0,216,249,93,228.6666667,161.3333333
3/1/2021,29,18,32,54,9,12,3,3,18,0,2021,3,170,1,6.12E-17,0,0,0,221,216,249,202.3333333,174.5
4/1/2021,44,34,50,97,16,13,5,5,14,1,2021,4,265,0.866025404,-0.5,1,0,0,170,221,216,218.6666667,202.3333333
5/1/2021,57,29,41,88,15,18,10,3,19,0,2021,5,266,0.5,-0.866025404,1,0,0,265,170,221,233.6666667,231.1666667
6/1/2021,32,20,55,84,16,19,7,0,17,1,2021,6,234,1.22E-16,-1,0,1,0,266,265,170,255,228.6666667
7/1/2021,61,41,126,132,24,26,12,5,32,0,2021,7,436,-0.5,-0.866025404,0,1,0,234,266,265,312,265.3333333
8/1/2021,69,44,116,133,23,25,16,10,31,0,2021,8,446,-0.866025404,-0.5,0,1,0,436,234,266,372,302.8333333
9/1/2021,65,45,92,163,32,27,11,5,37,1,2021,9,448,-1,-1.84E-16,0,1,0,446,436,234,443.3333333,349.1666667
10/1/2021,84,65,90,183,29,29,15,10,39,1,2021,10,517,-0.866025404,0.5,0,0,0,448,446,436,470.3333333,391.1666667
11/1/2021,98,60,104,189,32,27,9,5,44,0,2021,11,537,-0.5,0.866025404,1,0,0,517,448,446,500.6666667,436.3333333
12/1/2021,98,69,96,196,35,25,37,11,37,1,2021,12,580,-2.45E-16,1,1,0,1,537,517,448,544.6666667,494
1/1/2022,73,54,92,160,39,31,15,5,31,0,2022,1,462,0.5,0.866025404,0,0,0,580,537,517,526.3333333,498.3333333
2/1/2022,92,49,74,161,45,23,14,7,42,0,2022,2,462,0.866025404,0.5,0,0,0,462,580,537,501.3333333,501
3/1/2022,75,68,84,191,42,33,11,3,43,0,2022,3,511,1,6.12E-17,0,0,0,462,462,580,478.3333333,511.5
4/1/2022,115,48,106,172,43,27,16,3,46,0,2022,4,535,0.866025404,-0.5,1,0,0,511,462,462,502.6666667,514.5
5/1/2022,115,57,70,194,50,24,19,5,33,0,2022,5,520,0.5,-0.866025404,1,0,0,535,511,462,522,511.6666667
6/1/2022,55,49,131,148,30,31,8,6,41,0,2022,6,470,1.22E-16,-1,0,1,0,520,535,511,508.3333333,493.3333333
7/1/2022,65,47,136,139,36,24,10,4,38,0,2022,7,465,-0.5,-0.866025404,0,1,0,470,520,535,485,493.8333333
8/1/2022,61,52,120,170,37,23,7,3,26,0,2022,8,462,-0.866025404,-0.5,0,1,0,465,470,520,465.6666667,493.8333333
9/1/2022,64,57,91,182,38,24,19,6,30,0,2022,9,475,-1,-1.84E-16,0,1,0,462,465,470,467.3333333,487.8333333
10/1/2022,63,66,94,196,58,24,5,3,40,1,2022,10,493,-0.866025404,0.5,0,0,0,475,462,465,476.6666667,480.8333333
11/1/2022,85,53,84,233,69,38,12,4,42,0,2022,11,553,-0.5,0.866025404,1,0,0,493,475,462,507,486.3333333
12/1/2022,79,53,113,185,52,30,29,10,42,0,2022,12,556,-2.45E-16,1,1,0,1,553,493,475,534,500.6666667
1/1/2023,86,66,96,164,38,29,14,10,32,1,2023,1,499,0.5,0.866025404,0,0,0,556,553,493,536,506.3333333
2/1/2023,79,58,85,155,33,24,14,7,38,0,2023,2,463,0.866025404,0.5,0,0,0,499,556,553,506,506.5
3/1/2023,72,58,81,173,46,30,15,8,40,0,2023,3,478,1,6.12E-17,0,0,0,463,499,556,480,507
4/1/2023,151,45,95,207,51,30,17,9,34,0,2023,4,590,0.866025404,-0.5,1,0,0,478,463,499,510.3333333,523.1666667
5/1/2023,132,60,108,188,40,23,8,5,40,0,2023,5,565,0.5,-0.866025404,1,0,0,590,478,463,544.3333333,525.1666667
6/1/2023,67,43,144,151,38,20,11,10,24,1,2023,6,471,1.22E-16,-1,0,1,0,565,590,478,542,511
7/1/2023,56,51,129,125,25,21,10,8,24,1,2023,7,424,-0.5,-0.866025404,0,1,0,471,565,590,486.6666667,498.5
8/1/2023,60,41,135,159,46,14,12,8,24,0,2023,8,454,-0.866025404,-0.5,0,1,0,424,471,565,449.6666667,497
9/1/2023,66,45,100,176,40,30,13,5,38,1,2023,9,477,-1,-1.84E-16,0,1,0,454,424,471,451.6666667,496.8333333
10/1/2023,74,52,97,177,47,25,7,8,41,1,2023,10,483,-0.866025404,0.5,0,0,0,477,454,424,471.3333333,479
11/1/2023,92,53,95,180,42,27,17,7,51,0,2023,11,522,-0.5,0.866025404,1,0,0,483,477,454,494,471.8333333
12/1/2023,70,55,87,203,51,25,19,6,40,1,2023,12,520,-2.45E-16,1,1,0,1,522,483,477,508.3333333,480
1/1/2024,76,71,74,181,46,30,15,6,31,0,2024,1,488,0.5,0.866025404,0,0,0,520,522,483,510,490.6666667
2/1/2024,76,55,97,192,42,28,10,5,33,1,2024,2,499,0.866025404,0.5,0,0,0,488,520,522,502.3333333,498.1666667
3/1/2024,63,60,84,196,58,35,21,8,40,1,2024,3,508,1,6.12E-17,0,0,0,499,488,520,498.3333333,503.3333333
4/1/2024,131,60,91,205,57,28,15,5,47,0,2024,4,587,0.866025404,-0.5,1,0,0,508,499,488,531.3333333,520.6666667
5/1/2024,119,46,94,200,59,30,14,7,40,0,2024,5,552,0.5,-0.866025404,1,0,0,587,508,499,549,525.6666667
6/1/2024,56,42,109,165,48,21,11,4,33,0,2024,6,441,1.22E-16,-1,0,1,0,552,587,508,526.6666667,512.5
7/1/2024,56,38,120,138,36,18,8,4,39,0,2024,7,421,-0.5,-0.866025404,0,1,0,441,552,587,471.3333333,501.3333333
8/1/2024,63,44,120,131,38,23,10,8,23,1,2024,8,424,-0.866025404,-0.5,0,1,0,421,441,552,428.6666667,488.8333333
9/1/2024,71,54,88,187,39,21,14,3,28,1,2024,9,467,-1,-1.84E-16,0,1,0,424,421,441,437.3333333,482
10/1/2024,74,57,96,179,39,23,13,5,43,0,2024,10,492,-0.866025404,0.5,0,0,0,467,424,421,461,466.1666667
11/1/2024,77,73,99,181,37,34,10,7,52,0,2024,11,535,-0.5,0.866025404,1,0,0,492,467,424,498,463.3333333
12/1/2024,97,62,85,197,46,27,24,6,45,0,2024,12,560,-2.45E-16,1,1,0,1,535,492,467,529,483.1666667
1/1/2025,82,54,86,185,44,26,9,7,37,0,2025,1,488,0.5,0.866025404,0,0,0,560,535,492,527.6666667,494.3333333
2/1/2025,62,47,92,187,42,25,15,8,40,0,2025,2,478,0.866025404,0.5,0,0,0,488,560,535,508.6666667,503.3333333
3/1/2025,76,60,82,177,50,22,12,10,18,0,2025,3,460,1,6.12E-17,0,0,0,478,488,560,475.3333333,502.1666667
4/1/2025,117,56,81,195,46,32,10,5,40,1,2025,4,536,0.866025404,-0.5,1,0,0,460,478,488,491.3333333,509.5
5/1/2025,127,62,95,175,40,32,13,7,38,0,2025,5,550,0.5,-0.866025404,1,0,0,536,460,478,515.3333333,512
6/1/2025,71,54,117,149,38,26,13,8,26,0,2025,6,464,1.22E-16,-1,0,1,0,550,536,460,516.6666667,496
7/1/2025,60,49,146,150,32,12,10,8,32,1,2025,7,467,-0.5,-0.866025404,0,1,0,464,550,536,493.6666667,492.5
8/1/2025,63,35,123,148,41,21,14,5,29,0,2025,8,438,-0.866025404,-0.5,0,1,0,467,464,550,456.3333333,485.8333333
9/1/2025,79,43,80,164,34,30,17,1,40,1,2025,9,454,-1,-1.84E-16,0,1,0,438,467,464,453,484.8333333
10/1/2025,0,0,0,1,0,0,0,0,0,0,2025,10,1,-0.866025404,0.5,0,0,0,454,438,467,297.6666667,395.6666667
